log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-3.4089,8.0193,1.4951,0.0125,13.2622,7244.359600749898,1140052.8728823152,1616930.9677823465,765760.0361307388,903099.1717785364,2056589.083336315,1123257.797310666,635507.1382871728,363213.13026787975
-3.3274,8.0177,1.323,0.0126,13.0584,7585.775750291836,1312332.6354185068,1903050.9450511807,855877.5468312543,1114434.0676628689,2444479.8514713976,1284098.615715269,712392.5496608643,400276.8521862607
-3.2458,8.0162,1.1726,0.0126,12.8545,7943.282347242814,1530819.3003427773,2264698.6155116907,970267.8321545803,1374973.6637643056,2935935.173414006,1487436.3062183142,810287.928410875,447631.3303391629
-3.1642,8.0146,1.0404,0.0126,12.6505,8317.63771102671,1781410.1771810297,2684172.450529004,1098023.4954024802,1673918.772103874,3510641.334709831,1718693.275612536,920448.2341482838,499896.9370811269
-3.0826,8.013,0.9239,0.0126,12.4465,8709.635899560806,2069397.5429753135,3171103.4826336624,1240428.206399124,2016017.8811034486,4183949.7695080526,1982249.777590934,1044141.5276286083,557391.6722199902
-3.0009,8.0113,0.8205,0.0127,12.2422,9120.108393559096,2360356.365132913,3674718.3911499805,1375641.5395834672,2367816.4209621563,4890126.685654336,2244564.1706644706,1163410.6021512912,610230.8003378873
-2.9191,8.0095,0.7284,0.0127,12.0378,9549.92586021436,2726324.6950948057,4308281.40947436,1544775.174800267,2803548.206388046,5780961.942047408,2574020.6465768027,1312601.8656564879,676478.6959758198
-2.8374,8.0077,0.6462,0.0127,11.8334,10000.0,3134855.8641284863,5026944.181579623,1726256.3197730966,3301475.1148960926,6798922.805972139,2938542.8372460743,1473306.2025090456,746266.8051700664
-2.7555,8.0059,0.5724,0.0127,11.6287,10471.285480508985,3569912.548674735,5805291.916344479,1912252.6944217472,3860361.9658857416,7908973.316011097,3322706.8448576285,1637921.2493300675,816533.7196704806
-2.6734,8.0038,0.5061,0.0128,11.4234,10964.78196143185,3961002.167428546,6529073.618748948,2066582.6747293673,4415862.385418499,8950094.33595229,3660323.994108559,1774681.8994565243,872411.992123952
-2.5912,8.0016,0.4465,0.0128,11.2179,11481.536214968817,4420232.160287426,7380598.243608446,2249742.352201082,5095837.033959481,10172497.994368134,4055827.9965183795,1935176.2252003222,939899.9505106856
-2.5089,7.9993,0.3932,0.0128,11.0122,12022.644346174131,4878935.537204354,8246915.895689012,2426458.031904017,5813738.998755926,11422143.522538843,4445079.459329922,2088721.4167924167,1004249.5059167172
-2.4266,7.997,0.3456,0.0129,10.8065,12589.254117941662,5200027.001490965,8878346.372525444,2536374.0595343984,6365844.846064126,12351170.917503977,4707605.346713312,2183338.3266839804,1042034.6139078225
-2.3442,7.9946,0.303,0.0129,10.6006,13182.567385564074,5556043.006666292,9566037.614617284,2667923.07227222,6974226.526978335,13358205.848041335,5001727.7334187785,2294462.893094163,1089738.1256827286
-2.2617,7.9921,0.2646,0.0129,10.3943,13803.842646028837,6002962.062947082,10436913.50316676,2833304.835689135,7784953.976184345,14625412.758738315,5367351.622391873,2433778.4343697163,1149534.858708116
-2.1791,7.9895,0.2298,0.013,10.1877,14454.39770745928,6437812.36562263,11304849.895659858,2988863.068911357,8700591.234475577,15878184.630323814,5716007.150661973,2564092.8904718636,1204078.665533812
-2.0963,7.9867,0.198,0.013,9.9807,15135.612484362071,7018080.00391707,12444710.560133308,3211781.696774634,9924502.955340289,17495277.990616504,6189460.039983778,2751273.4328328855,1285212.264912844
-2.0132,7.9836,0.1689,0.0131,9.7731,15848.93192461114,7527355.513256644,13472522.374256395,3400400.975767806,11143275.776991265,18940217.45491616,6597157.8676678585,2908558.93258148,1352193.9071535668
-1.93,7.9804,0.1425,0.0131,9.565,16595.869074375598,8191480.995798422,14792749.858770369,3655696.4931225246,12682733.847494915,20784757.452787258,7136362.07748488,3122610.874463135,1445037.0247052964
-1.8466,7.977,0.1186,0.0132,9.3564,17378.00828749376,8777223.494301775,15986877.324726932,3871193.3318698285,14190823.797319688,22441903.459136672,7601715.392349808,3302422.2122214185,1521786.417756854
-1.7629,7.9733,0.0975,0.0132,9.1473,18197.008586099826,9548104.354877526,17535721.619667057,4164135.577849283,16094874.98096966,24588933.350767873,8222267.571559433,3548073.408798809,1628072.3612421057
-1.679,7.9694,0.0791,0.0133,8.9376,19054.607179632483,10232970.86003886,18948211.46568806,4414173.930051672,17961069.28126663,26527985.42501131,8763471.650955267,3756965.242207769,1716952.514446523
-1.595,7.9653,0.0636,0.0133,8.7274,19952.62314968879,11138885.440624097,20789700.023091774,4753455.597821969,20320396.979357366,29060579.493391488,9485848.54175339,4040891.3847132777,1839239.4945356117
-1.5107,7.9611,0.0507,0.0134,8.5167,20892.96130854041,11949106.243755413,22473044.31049504,5045487.408775783,22624858.58071663,31361581.523369562,10120684.146546718,4285197.692537923,1942548.9409102015
-1.4262,7.9566,0.0402,0.0135,8.3056,21877.616239495517,12826775.168176407,24308825.039116256,5359511.244770344,25170273.40745103,33867256.361386426,10805178.133754661,4548130.548920592,2053591.362666577
-1.3415,7.9519,0.0318,0.0136,8.0939,22908.676527677748,13783109.378790563,26314413.091179516,5698950.787501058,27989661.952345185,36597358.09123162,11547863.754514648,4832174.869278178,2173020.1290880656
-1.2566,7.947,0.0252,0.0136,7.8816,23988.329190194898,15048984.767412243,28941010.31858943,6157932.253473624,31587674.438668143,40179981.77786572,12540118.812882112,5217021.690590297,2336811.866174285
