teff,logg,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
11460.458688607172,9.1245713,13.919365957227317,13.90781612105722,13.894784304771601,13.929979425074574,13.875710090592907,14.036575130999463,14.208863116507903,14.436652816145791,4179352.587,6916007.115681806,2131421.6683339826,6093601.858038969,9470957.57,3765128.394612191,1794343.5072175143,878194.7057436578
11368.835956612962,9.1246098,13.938373141012733,13.929021001087307,13.91012657927725,13.958514123664202,13.897831899604533,14.05374986014499,14.224388088815942,14.450527877616345,4107151.0792742404,6782784.513050584,2101682.0121911597,5936011.532681871,9280678.065818707,3706333.025704477,1769009.3936845837,867112.2675245546
11280.127278361453,9.1246476,13.956821595216667,13.949597470675286,13.925026686351124,13.986187287512298,13.919296028022025,14.07042414,14.239465192399326,14.464007652944204,4038435.119577947,6656244.178911014,2073283.9117077098,5787317.163737299,9100093.818272626,3650283.038903364,1744821.9293027737,856515.5137925271
11190.513100824019,9.1246863,13.97591288136824,13.97095858452346,13.940295457804497,14.014955483160174,13.941553752091865,14.087604468163017,14.25491347571477,14.477723737395975,3968360.6947803516,6527086.131233246,2044493.8710519986,5636435.601714456,8916149.134228852,3593262.569263439,1720308.5249491273,845830.5044888566
11104.244096638331,9.1247242,13.994538127561276,13.991827321040331,13.955124867813366,14.04307081602864,13.963285523265599,14.104332140878972,14.269915919947016,14.491000801544507,3901176.381441175,6403337.524,2016919.6365021025,5492789.571,8740155.527779583,3538607.792902637,1696836.1542442862,835616.6085282437
11015.570644004561,9.1247641,14.013680142597831,14.013275247083872,13.970365250934027,14.071967312093417,13.985620425473986,14.12152358159609,14.28533405121146,14.504645463756273,3833304.5696936534,6278584.8903506845,1988964.2981963735,5348954.575,8562877.805479703,3483296.1515367413,1673043.3852117537,825246.6026
10938.430204014745,9.1247987,14.030990534100823,14.032591150492443,13.984158125181505,14.098132629541045,14.005830793244264,14.13713660548515,14.299158125516783,14.517050067157768,3772973.182024636,6168363.479511688,1964013.1259457658,5222005.570594066,8405627.642852431,3433837.4943744782,1652007.9063808543,815936.6700461312
10856.429088353234,9.1248359,14.049603220054548,14.05333568679758,13.998998581159013,14.126257444911507,14.027559194137345,14.153944939438537,14.31399858149429,14.530414681709159,3709287.265210062,6052349.059246065,1937581.7185160136,5089079.428,8240064.5099617345,3381490.9499410153,1629775.4205212274,806050.8318863023
10768.792282355294,9.124873,14.069442947815695,14.075453878660376,14.014806922989958,14.156263042168412,14.05072887927211,14.17185641621343,14.329806923325233,14.544645653886434,3642412.5095693897,5930772.184,1909726.8004533297,4950756.22,8066725.693055938,3326428.4789505503,1606345.5644458074,795617.9873639274
10693.576976513485,9.1249041,14.087080839978922,14.095047541565057,14.028533699686134,14.18296436137472,14.07133776091838,14.187726687415244,14.343533700021412,14.557244074381837,3584004.3228362757,5825166.317633291,1885884.4737243098,4830872.405530686,7915681.097760642,3278420.3325141985,1586290.8551658532,786501.9029476481
10608.085220554993,9.1249402,14.107343128268955,14.117532809118586,14.044179626762983,14.213656594683115,14.095019719446753,14.205937173562276,14.35917962709826,14.571692923266692,3518018.862679397,5706223.484849461,1859050.8472283273,4696596.258569972,7745510.733,3224148.1855882215,1563720.0471897672,776166.3178753011
10534.501759282348,9.1249709,14.12475189022997,14.13685482842461,14.057614969167197,14.240042574367472,14.115371819858673,14.221579932452748,14.372614969502472,14.584098009861165,3462198.281962597,5605795.450072229,1836260.994231159,4584015.880961613,7601976.0588476835,3178155.6894356012,1544550.614542296,767379.2212059977
10459.67041270897,9.1250024,14.159610190035593,14.172368201671254,14.090932854609733,14.274754590924843,14.151529513825793,14.256255460334938,14.406094176391484,14.616287596699635,3353074.268387144,5425833.388345044,1780909.3381980204,4440131.813940721,7353565.687404163,3078502.5200573592,1497769.6226589414,745021.4159343477
10389.460589421271,9.1250327,14.206055994745782,14.21839235344277,14.137941351046365,14.313617405635451,14.197834279748207,14.303824509646603,14.453383624692396,14.662173298819301,3212916.2761496813,5201053.853498325,1705583.4381444287,4284353.478922067,7047103.135,2946771.4353661872,1434048.357534019,714248.0011787161
10321.837082882177,9.1250617,14.250794054139876,14.262723845460146,14.183222523360593,14.351051297937628,14.242435793598892,14.34964431,14.49893553,14.706373675511026,3083463.0170637565,4993364.999997747,1636044.304468102,4139484.8458094504,6764015.294749404,2825225.3252835246,1375237.1461908838,685809.4135388802
10252.623278775376,9.1250904,14.296538981219001,14.308052216251827,14.22952443549121,14.389319793587159,14.288040291913969,14.39649629314722,14.545514658322766,14.751569986008516,2956365.007,4789379.429306856,1567803.304415357,3996282.478,6486046.5558445025,2706011.1202986096,1317538.218911126,657873.2046749642
10179.27857949269,9.1251184,14.28706316896421,14.30365259988869,14.211724020625823,14.40671795014222,14.285207246613147,14.382960513349445,14.52758339134543,14.731888793920703,2982517.0774211795,4809209.0109223435,1593845.800495174,3933068.2003408577,6503510.426451796,2740175.9480891516,1339585.043142311,669960.5582163276
10109.18164136388,9.1251448,14.275911735018402,14.29754855992804,14.192299395587847,14.42248453942439,14.280645878257902,14.36774343806548,14.508018591357876,14.71064097403155,3013427.8222104255,4836515.113242484,1622682.055610575,3876520.8357746406,6531150.1651835665,2778961.698943466,1363997.238044069,683227.9819000283
10038.781461640703,9.1251714,14.264755068534377,14.291461479570561,14.172832616139306,14.438362821136035,14.276108441243064,14.352503601355256,14.488410971352145,14.689342576930489,3044794.7591573102,4864093.835087638,1652169.9104707355,3820545.472,6559023.806091182,2818467.6796278344,1388964.3597380563,696818.3305736295
9971.373867,9.1251972,14.266219180179366,14.296806274764855,14.168058165970802,14.459128482930268,14.282765081697196,14.351088706768572,14.48350161251836,14.68281458498457,3040812.632830039,4840400.627,1659517.2482565204,3748317.6714317817,6519192.919,2822255.3104494214,1395314.5651239695,701048.4696565886
9907.703469861714,9.1252209,14.283241554879563,14.316248265637675,14.181387798744396,14.485956429439646,14.303225893719883,14.366710473829372,14.496703763406543,14.694488646347946,2993748.2449936806,4754874.704472227,1639398.309,3657124.7666768883,6397997.609490398,2782160.3519464573,1378560.5065476166,693606.2315
9841.833192961374,9.1252456,14.300805827627842,14.336315805427597,14.195131791951889,14.513665118950007,14.324347456740211,14.382825797005276,14.510315819540802,14.706519815836598,2945824.366838462,4667983.846951289,1618840.900920628,3565115.3353982074,6274985.569162462,2741279.454509521,1361439.3318938015,685990.0264560281
9779.665486566797,9.1252685,14.317428407007771,14.355300991075303,14.208148877785714,14.539861941739485,14.344327417290234,14.398080920269308,14.523208336537056,14.717920307879382,2901298.3144248314,4587434.089773384,1599675.5298717604,3480402.1035309965,6161058.243840308,2703247.618627766,1345475.6847349317,678878.6831983778
9720.083595519265,9.1252895,14.333735920506012,14.373812911067322,14.220761299237498,14.565704220182962,14.363912120011364,14.413017649652904,14.53588097,14.728983611293785,2858160.8389264066,4510060.354249949,1581263.3934511608,3398676.2388041625,6051161.130534548,2666419.160709129,1329915.6183453398,672022.9965531868
9651.326325,9.1253122,14.353024095972858,14.395576348257544,14.235511140556197,14.596405929763433,14.387050084759556,14.430654941993586,14.550905835589772,14.741946117911992,2807945.5292494833,4420732.774,1559989.1041873405,3304048.364680367,5923805.847371027,2623558.7205442367,1311690.6495822587,664073.9078007496
9584.666364687617,9.1253333,14.371725252174556,14.416677263045806,14.24981235055273,14.626172419451134,14.409483505569632,14.44775548154464,14.565473685429254,14.75451455772582,2760104.3471981417,4335819.380189909,1539637.093939364,3214823.133952249,5802895.270852596,2582663.6975435065,1294260.1143404366,656457.0632922781
9519.036673342753,9.1253543,14.390181253524249,14.43749593328391,14.263936364679966,14.655522689970377,14.431613998447242,14.464635515114667,14.57986021832187,14.766932627471784,2713798.9573499914,4253811.929,1519859.1097464524,3129331.3240796975,5686265.139766997,2543023.7449266776,1277325.3317272533,649043.2959282573
9455.467364421891,9.1253747,14.408555646404611,14.458336951827736,14.27802593,14.685073552678713,14.453726639703408,14.481395067261637,14.594025928720573,14.779280513389114,2668364.781624361,4173103.5694116326,1500323.0836977733,3045429.064295349,5571848.964278425,2504170.4148528413,1260818.3671389634,641729.1982980291
9393.490489432705,9.125394,14.426695122964972,14.478955503387663,14.291950900246395,14.71436975284492,14.475585460470917,14.497923395126175,14.60795090058167,14.79147020995051,2624259.001630216,4094765.437424792,1481262.7063206567,2964471.6012523733,5461011.529384682,2466435.9130585263,1244800.7012490013,634589.9756765624
9331.275244596101,9.1254131,14.444904127594262,14.49965311781042,14.30592919,14.743778465479183,14.497528190924784,14.514515094356904,14.621929192162073,14.803706551075487,2580716.985856336,4017605.312879367,1462372.659,2885367.2348043607,5351965.285512435,2429128.2361899875,1228926.174516778,627503.2183505963
9270.091054978526,9.1254315,14.462812014757652,14.520008372558515,14.319676480496195,14.772700524550164,14.519108000041655,14.530832517478451,14.63567648083147,14.815740756035595,2538601.3830211842,3943142.341032202,1444030.712353344,2809632.7663737824,5246850.0307236845,2392989.317638489,1213512.2525480075,620611.1336668602
9210.241120396702,9.1254493,14.480732094764313,14.540561289044703,14.33328785465504,14.802269636606013,14.540937495777342,14.547196280875998,14.649446890508727,14.827596599648306,2497145.0379309175,3869354.988941986,1426097.3330316774,2734256.174346743,5142616.512919188,2357287.437752118,1198266.1444614609,613895.5881808265
9149.850538792083,9.1254668,14.499018522152324,14.561626145364185,14.347104846826644,14.832756558011143,14.563330552714463,14.563912020964624,14.66350544500675,14.839601482194107,2455537.009792977,3795158.5176686402,1408119.972303847,2658653.381953618,5037838.079917889,2321365.5409564893,1182897.611374136,607169.3593
9082.930686,9.1254845,14.519277350571018,14.584963834133218,14.362410988218725,14.86653505045519,14.588140001918399,14.582430315287466,14.679079265809731,14.85289955167944,2410239.7285791025,3714600.670750442,1388463.571346766,2577315.653,4924223.008641522,2282198.962282943,1166097.6347019954,599801.9964779324
9017.787559341552,9.125502,14.538999410337855,14.607683047738469,14.377311816598809,14.899417941847762,14.61229186430263,14.600458013750412,14.694240666696714,14.865845586248732,2366947.935716058,3637824.4341614745,1369592.7447645194,2500528.1221045675,4816086.254559969,2244707.266497648,1149972.9962971725,592716.1781640365
8955.812653442767,9.1255179,14.558290223959244,14.630178778427364,14.391839101573751,14.932290091449197,14.636239274744739,14.618048835055642,14.708839101909028,14.878336365636777,2325357.1658587726,3563368.462764998,1351443.274557968,2426052.372438232,4711211.276737071,2208720.0448150365,1134659.5085043195,585959.7139447484
