log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-4.3439,9.096,4.0122,0.0052,15.5999,6606.934480075957,825236.3168472734,1107094.8169700832,592305.8692745412,533714.2306515309,1374297.8432102066,826062.2592319495,489208.24941835506,289290.97071689693
-4.2637,9.0958,3.7954,0.0052,15.3993,6918.309709189362,968051.2098616832,1337041.284986956,672273.5678127934,702471.6190201584,1679271.2972793467,962172.1469722629,556434.1445898281,323277.0532565726
-4.1835,9.0955,3.5851,0.0052,15.1987,7244.359600749898,1128699.4984805589,1601270.9232237057,759182.2336041138,907797.0826567995,2031799.5739705197,1113096.406694933,629758.1140768058,359728.5264917958
-4.1032,9.0953,3.3807,0.0052,14.9981,7585.775750291836,1309116.606602467,1902413.054989145,854252.062778498,1150134.901963131,2434674.263509338,1280833.8031714687,710515.8522029998,399332.703869299
-4.023,9.0951,3.1826,0.0052,14.7975,7943.282347242814,1512370.9685941201,2245250.5815925985,959193.0783257912,1431359.6910013738,2894948.65145905,1468428.4183145312,800154.3522909612,442644.30269756756
-3.9428,9.0948,2.9912,0.0052,14.5969,8317.63771102671,1742361.7644691858,2636239.22428169,1075935.002216423,1752381.996634761,3421376.4752352852,1679626.742642885,900520.8484169509,490517.9208525945
-3.8625,9.0946,2.8067,0.0052,14.3963,8709.635899560806,2003080.172337743,3082228.398529703,1205330.1946224323,2117721.192602148,4024953.4774352442,1916958.8079585938,1012730.225290624,543218.908741971
-3.7823,9.0943,2.6294,0.0052,14.1957,9120.108393559096,2297938.1330011864,3591077.8283150974,1348298.45283808,2532262.844719051,4718031.812796434,2184000.7378739244,1137768.1490107616,600862.193330417
-3.702,9.0941,2.4594,0.0052,13.995,9549.92586021436,2632075.4357232503,4173157.901069473,1506281.132377015,3002678.143412719,5514686.961022035,2484350.004034744,1277067.2622169442,664010.3957843601
-3.6217,9.0938,2.2975,0.0052,13.7943,10000.0,3009804.8111297665,4836206.289967311,1680142.1848158513,3537274.6583617222,6426298.061533856,2821842.5691166907,1431442.0531555358,732782.145014866
-3.5415,9.0935,2.1438,0.0052,13.5937,10471.285480508985,3429717.363024299,5582963.872867573,1868039.4180695978,4145995.0833576084,7457630.55439962,3194572.735234458,1598872.275294197,805925.4655108375
-3.4612,9.0932,1.9983,0.0052,13.3929,10964.78196143185,3883455.491742759,6401840.0273482045,2064743.160462998,4832243.190485087,8592526.19762049,3595280.5125990473,1774082.3362821655,881484.9032602877
-3.3808,9.0929,1.8613,0.0052,13.1921,11481.536214968817,4357710.06964279,7272183.308998341,2264362.9287344418,5599493.988568944,9797626.17145055,4009523.661763469,1951163.9884371725,956786.1471784792
-3.3005,9.0926,1.7327,0.0052,12.9913,12022.644346174131,4845943.341373917,8183607.987481447,2464597.684768686,6452214.290841447,11062183.669020116,4431724.768364714,2127226.6824478586,1031465.9092121372
-3.2201,9.0921,1.6079,0.0052,12.7902,12589.254117941662,5350302.436467746,9141654.795417555,2666772.918648685,7397224.21618375,12389131.565387737,4863767.212628809,2303635.549187842,1106050.3022238598
-3.1396,9.0917,1.4906,0.0052,12.5891,13182.567385564074,5867570.711283262,10136891.95514533,2868573.8573604682,8421487.003111718,13772122.116967443,5301182.806786107,2478641.8139729416,1179817.622452252
-3.0592,9.0912,1.3809,0.0052,12.3879,13803.842646028837,6375853.536581288,11128197.314831529,3062147.0054304404,9469101.73823339,15152380.406301454,5726546.357421215,2645414.756936158,1249726.2116123561
-2.9785,9.0906,1.2758,0.0052,12.1863,14454.39770745928,6829962.702628962,12022224.055512613,3230174.8853887664,10426745.727935275,16404419.43296692,6102851.195270099,2790318.4572032825,1309950.4812343959
-2.8977,9.0898,1.1739,0.0052,11.9843,15135.612484362071,7219353.903072209,12795722.634337617,3373075.298076171,11270645.312463203,17488834.377605338,6423515.564268589,2911882.000213059,1360864.4802522836
-2.817,9.089,1.0776,0.0052,11.7824,15848.93192461114,7673232.04928805,13703289.016990252,3537252.287985312,12280860.063278826,18760346.909171533,6794739.023823799,3051362.269676013,1419236.8494063234
-2.7362,9.0882,0.9861,0.0052,11.5804,16595.869074375598,8234900.044813649,14832857.264378032,3739952.067508745,13584034.713914298,20342337.94513395,7249912.762200799,3223545.256796246,1491196.5105941184
-2.6554,9.0874,0.8996,0.0052,11.3784,17378.00828749376,8889111.055724766,16156408.209172042,3979110.834315744,15181293.715797681,22182008.37483568,7776295.952936063,3425892.8201984465,1576358.085739876
-2.5744,9.0865,0.8169,0.0052,11.176,18197.008586099826,9619186.212288521,17638628.671565767,4249580.261799385,17049387.546237346,24223721.508798216,8361665.321175185,3654043.9937742264,1673458.2378864035
-2.4934,9.0854,0.7383,0.0052,10.9734,19054.607179632483,10412100.037403034,19256830.935774457,4543871.448490934,19156174.42130179,26443617.39932532,8995240.530446753,3901699.085560338,1779323.3530239898
-2.4119,9.084,0.6626,0.0052,10.7697,19952.62314968879,11278681.482742151,21031237.004991252,4864363.669204956,21511405.288859684,28861630.671241835,9683063.519259114,4171130.4446768607,1894501.1740959308
-2.3295,9.0816,0.5881,0.0052,10.5638,20892.96130854041,12237658.565362167,23003017.909402136,5218023.566139512,24167336.144334767,31544297.858111147,10442699.496916832,4468623.569434556,2021598.3700778044
-2.2466,9.0786,0.5178,0.0053,10.3565,21877.616239495517,12794793.473594297,24241515.422790043,5395118.452063853,26133870.263899636,33215119.020139165,10854947.537506131,4615180.807478767,2079839.5231024607
-2.1641,9.0762,0.4527,0.0053,10.1502,22908.676527677748,13892911.850023147,26524045.584620677,5793232.844621951,29314583.6804737,36305783.45571645,11716225.687611595,4950268.0945874555,2222234.1987855574
-2.0805,9.0726,0.3942,0.0053,9.9413,23988.329190194898,15131196.810274709,29104474.72785312,6240235.563584305,32943044.339906808,39793836.66096267,12684335.74113217,5326337.967803353,2382044.2606589263
-1.9961,9.0682,0.337,0.0053,9.7303,25118.864315095823,16539153.585046042,32050865.791178588,6744674.327715939,37129895.831342146,43773957.607615344,13781856.665182091,5752130.360670434,2562063.1308385283
-1.9106,9.0627,0.2828,0.0054,9.5165,26302.679918953814,17485477.62127861,34138464.65066498,7052859.036247878,40450877.795312434,46569334.59281078,14484781.501329854,6008318.402898086,2665839.7929738723
-1.8268,9.0588,0.2356,0.0054,9.3069,27542.28703338169,19198950.977951456,37761043.3230973,7658878.9203960635,45755989.36319721,51444628.16525772,15810730.950274503,6517978.7384370975,2880806.2221672167
-1.7454,9.0574,0.2016,0.0054,9.1034,28840.31503126606,21043477.004436757,41687320.877260014,8307019.000006229,51637826.06894763,56704827.35934097,17227884.377104655,7059808.8033401575,3109095.3869148493
-1.6644,9.0564,0.1741,0.0054,8.901,30199.51720402019,23090721.312019892,46060005.4675624,9028283.82753876,58248929.776707195,62554712.51778784,18801476.161148652,7661484.714752929,3363830.0535819316
-1.5833,9.0554,0.1494,0.0054,8.6983,31622.776601683792,25288175.665941946,50750927.682586715,9805849.056942469,65380456.76677095,68811342.75239241,20488584.177279323,8306019.36808118,3638095.091850298
-1.5022,9.0543,0.1272,0.0054,8.4956,33113.112148259075,27524377.12497707,55534643.10177685,10596567.374875639,72678833.85552695,75193453.65599886,22206082.469972953,8962577.817878015,3917725.8879697416
-1.4211,9.0531,0.1074,0.0054,8.2926,34673.685045253165,29738393.221442252,60273163.321687445,11380601.167777112,79933338.17735401,81519223.18881567,23906277.05801269,9610653.939828912,4194440.579848914
-1.3398,9.0519,0.0898,0.0054,8.0895,36307.8054770101,31906377.533544242,64911849.76068613,12145214.902440192,87049834.61876869,87712205.7391532,25566539.459297113,10244079.483059421,4465129.369869382
-1.2584,9.0505,0.0741,0.0054,7.8861,38018.93963205613,34031218.51978686,69464671.3264899,12894520.70314454,94043319.52196331,93786436.02169424,27193928.314944454,10864079.612234652,4730140.560416014
-1.177,9.0491,0.0601,0.0054,7.6825,39810.71705534969,36127465.892699964,73961206.18692783,13633432.23412737,100945729.37969786,99783798.54861943,28797311.779110424,11475006.480278421,4991074.430006908
-1.0954,9.0475,0.0476,0.0054,7.4786,41686.93834703355,38215319.9251947,78437543.71102484,14368293.932799371,107837037.98376337,105754786.43448941,30394286.186710846,12082392.490665866,5250420.009781223
