log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-3.4784,7.307,3.137,0.0201,13.4359,5495.408738576249,402080.40111603343,469590.5947253611,332384.38164511113,152574.9917574278,544120.93711534,408608.45904592884,271861.89779916714,175093.26903754068
-3.3899,7.2986,2.8482,0.0203,13.2147,5754.399373371566,484521.37779057724,589602.6529678194,385372.43543506745,216991.83585966108,698643.2643657238,491029.28270928905,315957.29226200795,198970.86601535097
-3.3026,7.2913,2.5684,0.0205,12.9965,6025.595860743575,579265.0114949727,731616.9906335096,443858.97032102104,300170.3197838841,883527.0087189877,584455.8983661862,364815.04217747314,224881.55928242696
-3.2158,7.2845,2.3104,0.0206,12.7795,6309.57344480193,693889.919963498,906435.8298082501,513071.9624980525,408226.3456302407,1113045.9954245826,696506.2651313228,422674.4715730184,255344.8630593466
-3.1291,7.2777,2.0653,0.0208,12.5626,6606.934480075957,818725.5608798532,1102211.2384581577,585256.2409104067,535980.2662159526,1372779.8070074492,816982.5831207655,483296.65487199905,286401.241416069
-3.0422,7.2709,1.8504,0.021,12.3455,6918.309709189362,962025.1589242351,1330310.1827296263,665999.8540126906,687950.008791931,1677911.1604696892,954071.4027988808,551393.7887731147,320732.50524781365
-2.9555,7.2642,1.6823,0.0211,12.1288,7244.359600749898,1136109.2838603973,1609113.1879279728,762689.579691155,873274.0589512945,2053253.8299799168,1119269.211356399,633192.1885800632,361723.4425761829
-2.8679,7.2566,1.398,0.0213,11.9097,7585.775750291836,1327962.5036475025,1922172.2270218371,864955.0060559069,1081623.8703122688,2480437.824397335,1299392.217059163,720478.8762468596,404261.47770805686
-2.7801,7.2487,1.1975,0.0215,11.6902,7943.282347242814,1548916.8329375635,2287044.342301399,979119.7335912812,1320196.418307829,2983806.339700726,1504882.3485922678,818509.1511127353,451049.95746225456
-2.6917,7.2404,1.0223,0.0217,11.4693,8317.63771102671,1804120.5426642823,2712639.223317595,1106912.4080525066,1589995.8922035643,3578063.83581869,1739962.9485043397,929011.2890137085,502692.1441654318
-2.6028,7.2314,0.8695,0.022,11.2469,8709.635899560806,2082666.1465859388,3185856.0094658327,1239102.8668840104,1882565.5556720614,4249346.93832367,1993490.2063098098,1044756.5376796302,554646.4075254649
-2.5131,7.2218,0.7363,0.0222,11.0227,9120.108393559096,2422139.0442520212,3767086.1818347285,1396518.7613190557,2232181.58564714,5079975.3309182,2300559.7601268427,1183026.601344468,615850.9520328507
-2.4228,7.2115,0.6204,0.0225,10.797,9549.92586021436,2780865.4931970728,4394874.406163539,1552915.00816061,2608017.0950440913,5989664.763490794,2620199.9366682293,1321342.557557852,674802.2621430404
-2.3326,7.2013,0.5203,0.0227,10.5715,10000.0,3193399.882361184,5126958.362692509,1727829.9950017398,3059030.13718769,7057255.450376496,2984611.1262262925,1475328.542970167,740371.7711512607
-2.2415,7.1902,0.4327,0.023,10.3438,10471.285480508985,3595583.239278544,5858356.991201605,1887717.7149744746,3532643.3825207246,8136392.3004914345,3332451.1817159564,1615863.9319649346,798740.8460886363
-2.1506,7.1793,0.3563,0.0233,10.1165,10964.78196143185,3994598.8927607527,6602062.977474253,2038359.9675173964,4034629.2057450055,9243910.035475884,3671027.399605388,1747224.1226858255,852922.8000424918
-2.0601,7.1687,0.29,0.0236,9.8902,11481.536214968817,4332723.886215949,7247154.147416017,2158185.2373293447,4485919.377929071,10221239.067724591,3949257.595531165,1849934.9319928607,895442.2047908012
-1.97,7.1587,0.2338,0.0239,9.6651,12022.644346174131,4637770.112017321,7840715.628977121,2263794.0887186457,4940372.187266962,11125812.850129392,4194340.328011194,1938494.8752798815,933309.6669199454
-1.8812,7.1498,0.1877,0.0241,9.4429,12589.254117941662,5053019.034305964,8639277.412229944,2418569.8703544373,5615667.490524555,12311003.847691271,4532579.005925447,2068170.6658400462,989708.9118175593
-1.793,7.1417,0.1527,0.0243,9.2226,13182.567385564074,5509757.340161894,9522236.367542474,2594299.884054988,6448562.639574683,13595494.38977566,4906896.762426274,2215174.339514054,1053632.1617289563
-1.7039,7.1326,0.1274,0.0246,8.9998,13803.842646028837,5957647.523050991,10399232.562302548,2764919.613283914,7351318.780845264,14859949.652797565,5269740.79396616,2356949.323496034,1115299.100205679
